TIME,E,I,R,S,t
2020-03-04,1,1,0,4999998.0,0.0
2020-03-05,0,1,0,4999999.0,1.0
2020-03-06,1,2,0,4999997.0,2.0
2020-03-07,0,2,0,4999998.0,3.0
2020-03-08,0,2,0,4999998.0,4.0
2020-03-09,0,2,0,4999998.0,5.0
2020-03-10,0,2,0,4999998.0,6.0
2020-03-11,0,2,0,4999998.0,7.0
2020-03-12,3,5,0,4999992.0,8.0
2020-03-13,1,6,0,4999993.0,9.0
2020-03-14,0,6,0,4999994.0,10.0
2020-03-15,3,7,2,4999988.0,11.0
2020-03-16,0,7,0,4999993.0,12.0
2020-03-17,0,7,0,4999993.0,13.0
2020-03-18,1,8,0,4999991.0,14.0
2020-03-19,4,12,0,4999984.0,15.0
2020-03-20,2,14,0,4999984.0,16.0
2020-03-21,0,14,0,4999986.0,17.0
2020-03-22,0,14,0,4999986.0,18.0
2020-03-23,5,19,0,4999976.0,19.0
2020-03-24,0,19,0,4999981.0,20.0
2020-03-25,5,21,3,4999971.0,21.0
2020-03-26,0,21,0,4999979.0,22.0
2020-03-27,11,32,0,4999957.0,23.0
2020-03-28,5,36,0,4999959.0,24.0
2020-03-29,8,44,0,4999948.0,25.0
2020-03-30,48,89,2,4999861.0,26.0
2020-03-31,27,116,0,4999857.0,27.0
2020-04-01,22,138,0,4999840.0,28.0
2020-04-02,9,147,0,4999844.0,29.0
2020-04-03,15,162,0,4999823.0,30.0
2020-04-04,20,182,0,4999798.0,31.0
2020-04-05,35,192,25,4999748.0,32.0
2020-04-06,69,261,0,4999670.0,33.0
2020-04-07,34,295,0,4999671.0,34.0
2020-04-08,44,326,11,4999619.0,35.0
2020-04-09,35,361,0,4999604.0,36.0
2020-04-10,80,410,31,4999479.0,37.0
2020-04-11,69,479,0,4999452.0,38.0
2020-04-12,121,596,4,4999279.0,39.0
2020-04-13,121,717,0,4999162.0,40.0
2020-04-14,130,829,17,4999024.0,41.0
2020-04-15,154,966,15,4998865.0,42.0
2020-04-16,424,1369,21,4998186.0,43.0
2020-04-17,139,1406,101,4998354.0,44.0
2020-04-18,114,1513,7,4998366.0,45.0
2020-04-19,86,1597,2,4998315.0,46.0
2020-04-20,127,1682,39,4998152.0,47.0
2020-04-21,294,1926,47,4997733.0,48.0
2020-04-22,191,2073,41,4997695.0,49.0
2020-04-23,253,2280,43,4997424.0,50.0
2020-04-24,215,2443,49,4997293.0,51.0
2020-04-25,151,2561,29,4997259.0,52.0
2020-04-26,161,2722,0,4997117.0,53.0
2020-04-27,198,2865,55,4996882.0,54.0
2020-04-28,290,2989,164,4996557.0,55.0
2020-04-29,336,3254,71,4996339.0,56.0
2020-04-30,349,3599,0,4996052.0,57.0
2020-05-01,323,3824,98,4995755.0,58.0
2020-05-02,295,3934,184,4995587.0,59.0
2020-05-03,317,4112,136,4995435.0,60.0
2020-05-04,226,4067,271,4995436.0,61.0
2020-05-05,312,4312,64,4995312.0,62.0
2020-05-06,306,4594,20,4995080.0,63.0
2020-05-07,375,4920,45,4994660.0,64.0
2020-05-08,425,5275,65,4994235.0,65.0
2020-05-09,414,5677,12,4993897.0,66.0
2020-05-10,307,5974,7,4993712.0,67.0
2020-05-11,339,6208,103,4993350.0,68.0
2020-05-12,435,6574,64,4992927.0,69.0
2020-05-13,460,6977,51,4992512.0,70.0
2020-05-14,541,7407,106,4991946.0,71.0
2020-05-15,525,7822,104,4991549.0,72.0
2020-05-16,451,8202,66,4991281.0,73.0
2020-05-17,425,8588,34,4990953.0,74.0
2020-05-18,453,8973,63,4990511.0,75.0
2020-05-19,455,9216,208,4990121.0,76.0
2020-05-20,408,9438,181,4989973.0,77.0
2020-05-21,389,9626,198,4989787.0,78.0
2020-05-22,363,9718,265,4989654.0,79.0
2020-05-23,384,9754,328,4989534.0,80.0
2020-05-24,374,9985,138,4989503.0,81.0
2020-05-25,363,10182,154,4989301.0,82.0
2020-05-26,387,9847,714,4989052.0,83.0
2020-05-27,383,9896,325,4989396.0,84.0
2020-05-28,369,9924,330,4989377.0,85.0
2020-05-29,365,10016,260,4989359.0,86.0
2020-05-30,369,10065,307,4989259.0,87.0
2020-05-31,364,10352,68,4989216.0,88.0
2020-06-01,376,10458,260,4988906.0,89.0
2020-06-02,380,10498,323,4988799.0,90.0
2020-06-03,375,10485,364,4988776.0,91.0
2020-06-04,378,10455,381,4988786.0,92.0
2020-06-05,347,10361,386,4988906.0,93.0
2020-06-06,340,10373,297,4988990.0,94.0
2020-06-07,326,10528,156,4988990.0,95.0
2020-06-08,318,10619,186,4988877.0,96.0
2020-06-09,313,10463,420,4988804.0,97.0
2020-06-10,303,10385,343,4988969.0,98.0
2020-06-11,274,10206,412,4989108.0,99.0
2020-06-12,262,10175,285,4989278.0,100.0
2020-06-13,256,10287,116,4989341.0,101.0
2020-06-14,252,10439,62,4989247.0,102.0
2020-06-15,234,10387,232,4989147.0,103.0
2020-06-16,228,9861,716,4989195.0,104.0
2020-06-17,231,9426,637,4989706.0,105.0
2020-06-18,228,8770,847,4990155.0,106.0
2020-06-19,232,8187,794,4990787.0,107.0
2020-06-20,229,7892,498,4991381.0,108.0
2020-06-21,217,7896,184,4991703.0,109.0
2020-06-22,220,7860,221,4991699.0,110.0
2020-06-23,218,7397,643,4991742.0,111.0
2020-06-24,221,7010,589,4992180.0,112.0
2020-06-25,223,6791,395,4992591.0,113.0
2020-06-26,224,6242,716,4992818.0,114.0
2020-06-27,217,5840,598,4993345.0,115.0
2020-06-28,219,5793,247,4993741.0,116.0
2020-06-29,253,5761,254,4993732.0,117.0
2020-06-30,262,5132,845,4993761.0,118.0
